customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,dob,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,9785,72,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37873.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,13424,2,2017-02-21,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,38573.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,14486,23,2017-03-27,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,33455.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,18970,11,2017-03-29,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,35378.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,3765,38,2017-04-06,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,39526.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,5157,47,2017-05-11,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,37823.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,13644,25,2017-05-19,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33552.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,15663,32,2017-06-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,40618.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,16423,9,2017-12-09,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,37838.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,14931,31,2017-12-14,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337.0
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,False,True,11.0,060 Morning Avenue,2016,NSW,Australia,10,94,86,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,False,True,16.0,6 Meadow Vale Court,2153,NSW,Australia,10,2261,1,2017-05-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40784.0
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,False,True,16.0,6 Meadow Vale Court,2153,NSW,Australia,10,6743,85,2017-06-11,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,38206.0
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,False,True,16.0,6 Meadow Vale Court,2153,NSW,Australia,10,16411,26,2017-08-24,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,37337.0
4,Talbot,,Male,33,1961-10-03,Senior Editor,IT,Mass Customer,False,False,7.0,0 Holy Cross Court,4211,QLD,Australia,9,12441,95,2017-04-03,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0
4,Talbot,,Male,33,1961-10-03,Senior Editor,IT,Mass Customer,False,False,7.0,0 Holy Cross Court,4211,QLD,Australia,9,14648,62,2017-06-18,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,IT,Affluent Customer,False,True,8.0,17979 Del Mar Point,2448,NSW,Australia,4,2291,23,2017-03-03,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244.0
